,condition,entropy
161,Truncated,2.403447896590285
162,Full,1.4813336579592238
163,Truncated,2.4171101555603194
164,Full,1.4054941181905884
165,Truncated,2.4314443945557698
166,Full,1.469357029384808
167,Truncated,2.426385090164402
168,Full,1.3067062479812257
169,Truncated,2.4243275713132846
170,Full,1.291921062094922
171,Truncated,2.3861067228795054
172,Full,1.3884707887104093
173,Truncated,2.423675527907072
174,Full,1.335613515348419
175,Truncated,2.46416388465449
176,Full,1.4319560850883195
177,Truncated,2.4411028980863585
178,Full,1.3539918494399024
179,Truncated,2.388753252311786
180,Full,1.4146221374859993
181,Truncated,2.446851595881218
182,Full,1.3855500176918139
183,Truncated,2.4196169195035124
184,Full,1.3822595209291966
185,Truncated,2.4399332553404336
186,Full,1.3836252854624018
187,Truncated,2.4159089605295128
188,Full,1.4353111097936266
189,Truncated,2.4078096185199582
190,Full,1.4157690710958235
191,Truncated,2.407876860704726
192,Full,1.5408287095103141
193,Truncated,2.4010077792758344
194,Full,1.4025541748991484
195,Truncated,2.41154556888496
196,Full,1.4478492261013443
197,Truncated,2.4178997123172943
198,Full,1.455204402044944
199,Truncated,2.420225987132431
200,Full,1.3695511843077515
201,Truncated,2.410278537345922
202,Full,1.494509937151443
203,Truncated,2.4286554577655286
204,Full,1.4152263166216381
205,Truncated,2.4021802452526493
206,Full,1.3951350642846774
207,Truncated,2.4482615221047968
208,Full,1.4431131041138527
209,Truncated,2.426326195434153
210,Full,1.4399386641650562
211,Truncated,2.4446917834843997
212,Full,1.3371919647269972
213,Truncated,2.4358452739200533
214,Full,1.4400216779341994
215,Truncated,2.3874332045397155
216,Full,1.343365545673007
217,Truncated,2.442051433817973
218,Full,1.425450770109146
219,Truncated,2.4285488890682707
220,Full,1.3825308824159297
221,Truncated,2.35885257209535
222,Full,1.4583692308971106
223,Truncated,2.426067320395007
224,Full,1.310834480880904
225,Truncated,2.433553060116094
226,Full,1.4046095744345561
227,Truncated,2.426087267020555
228,Full,1.3516469204736485
229,Truncated,2.412699548717712
230,Full,1.398790340757745
231,Truncated,2.429591561181021
232,Full,1.3575333964902576
233,Truncated,2.453107775931506
234,Full,1.4192861831877692
235,Truncated,2.4036587017346385
236,Full,1.4567544960807772
237,Truncated,2.44087172645756
238,Full,1.394352203309713
239,Truncated,2.3830198155706914
240,Full,1.4469420265675157
241,Truncated,2.4149970335958875
242,Full,1.4648198915742305
243,Truncated,2.3712144440914207
244,Full,1.3270079493398363
245,Truncated,2.437572513351787
246,Full,1.5087448719632361
247,Truncated,2.4371162517867733
248,Full,1.3799773311367443
249,Truncated,2.404834038342048
250,Full,1.3053146188302973
251,Truncated,2.418137963552841
252,Full,1.4360351543918488
253,Truncated,2.415732010805739
254,Full,1.4640137182188775
255,Truncated,2.4257143163186146
256,Full,1.4143301023584445
257,Truncated,2.436255031070512
258,Full,1.3832404762689838
259,Truncated,2.4225240363385616
260,Full,1.3447406102820367
261,Truncated,2.391629875926161
262,Full,1.423488446317572
263,Truncated,2.3888400365697406
