,condition,entropy
122,Full,0.5629999034391355
123,Truncated,0.9188574825429666
124,Full,0.5511998176476542
125,Truncated,0.9549428043467525
126,Full,0.5789938919977106
127,Truncated,0.9614673053411946
128,Full,0.5887145027455349
129,Truncated,0.9005313272890506
130,Full,0.5757323907321507
131,Truncated,0.934773722816051
132,Full,0.6122237419291112
133,Truncated,1.0117863040690396
134,Full,0.47326369041822963
135,Truncated,0.8977400356810917
136,Full,0.5906704608533452
137,Truncated,0.9704419383020206
138,Full,0.599093989176062
139,Truncated,0.9600165248233867
140,Full,0.5658600289273483
141,Truncated,0.9391518050934874
142,Full,0.572399789180685
143,Truncated,0.9813371926009141
144,Full,0.5720963467378228
145,Truncated,0.96152482354194
146,Full,0.5992526548207427
147,Truncated,0.9634962695303153
148,Full,0.5566072246207275
149,Truncated,0.9917357411971162
150,Full,0.6026083010521458
151,Truncated,1.02729877254304
152,Full,0.4703351191470618
153,Truncated,0.9140828363458257
154,Full,0.5358586197191254
155,Truncated,0.9685075830332397
156,Full,0.5184362849367149
157,Truncated,0.8475750258366456
158,Full,0.5620530894196872
159,Truncated,0.9607237483185266
160,Full,0.5533815241113876
161,Truncated,0.957423475395204
162,Full,0.6086210256766664
163,Truncated,0.9665961079292417
164,Full,0.5943925952991232
165,Truncated,1.0248405886267724
166,Full,0.6184495631938605
167,Truncated,0.9693550877239071
168,Full,0.5643005643355049
169,Truncated,0.9352553380308614
170,Full,0.6026003694872238
171,Truncated,0.9031540116069634
172,Full,0.5890776420656751
173,Truncated,0.9112845555272923
174,Full,0.5759606318941016
175,Truncated,0.9862627810335014
176,Full,0.5968170677285569
177,Truncated,0.9531871505302756
178,Full,0.6053535110997014
179,Truncated,1.0182640520094586
180,Full,0.5654725873795349
181,Truncated,0.9540485301550635
182,Full,0.6194736328161449
183,Truncated,0.99039439772604
184,Full,0.6087635060819351
185,Truncated,1.0366280796176044
186,Full,0.5493883012002585
187,Truncated,0.967261194319546
188,Full,0.5587580491384142
189,Truncated,0.9538065329440052
190,Full,0.5797496563364251
191,Truncated,0.9210230466423055
192,Full,0.5973797996709083
193,Truncated,1.0014298312854986
194,Full,0.6129561298285418
195,Truncated,0.9714975092716218
196,Full,0.5777245682846491
197,Truncated,0.9648576180420482
198,Full,0.603272346523226
199,Truncated,1.029221355051268
200,Full,0.6428626292957857
201,Truncated,1.0263559041216643
202,Full,0.596499809201915
203,Truncated,0.9860661687498276
204,Full,0.5829138350974715
205,Truncated,0.9890199005867776
206,Full,0.5809353388015395
207,Truncated,0.9456887926318713
208,Full,0.5918932192492012
209,Truncated,0.9771470056524385
210,Full,0.5642837870849531
211,Truncated,0.9942993899356762
212,Full,0.5735565984447948
213,Truncated,0.9263481907133525
214,Full,0.563023740814242
215,Truncated,0.9710433578461398
216,Full,0.6177703273820803
217,Truncated,0.9913873237812671
218,Full,0.6278210370112524
219,Truncated,1.0007563840577884
220,Full,0.5576188073087885
221,Truncated,0.8997881442387978
222,Full,0.6251276319565077
223,Truncated,1.0137238479029187
224,Full,0.5826305284833059
