,thinking_time,auto_actions
189,10.839,0
190,15.81,1
191,16.129,0
192,7.278,0
193,2.721,0
194,7.334,0
195,7.662999999999999,0
196,4.1819999999999995,0
197,1.235,2
198,3.497,0
199,9.533999999999999,0
200,2.923,0
201,3.87,0
202,1.129,0
203,1.11,0
204,6.562,0
205,20.991999999999997,0
206,5.807,0
207,13.783,0
208,7.222,0
209,17.639,0
210,0.985,0
211,5.816,0
212,5.023,0
213,3.0589999999999997,0
214,5.247000000000001,0
215,2.862,0
216,2.593,1
217,11.255999999999998,1
218,10.279000000000002,1
219,5.112,1
220,24.064,0
221,6.127999999999999,0
222,2.728,0
223,11.584000000000001,0
224,2.872,2
225,24.298000000000002,0
226,2.9219999999999997,1
227,9.974,0
228,3.801,0
229,3.74,0
230,11.017999999999999,0
231,18.476,0
232,3.7230000000000003,0
233,11.777000000000001,0
234,9.686,0
235,3.835,1
236,3.359,0
237,25.84,1
238,3.17,0
239,3.478,0
240,3.778,0
241,3.036,4
242,3.5189999999999997,0
243,3.1289999999999996,1
244,5.343999999999999,0
245,8.533999999999999,0
246,7.477,0
247,13.875,0
248,10.710999999999999,0
249,10.167,0
250,7.595,0
251,5.348,0
252,3.778,0
253,2.542,1
254,6.6610000000000005,5
255,4.539,1
256,2.977,5
257,5.071000000000001,4
258,5.088,2
259,1.966,1
260,2.924,4
261,0.9420000000000001,0
262,3.111,1
263,6.555,1
264,3.767,0
265,3.9210000000000003,2
266,3.3360000000000003,1
267,2.779,0
268,7.197,4
269,2.502,0
270,3.02,0
271,3.324,0
272,3.897,0
273,4.558,0
274,4.855,0
275,3.576,0
276,3.46,0
277,5.797000000000001,0
278,7.6979999999999995,0
279,4.466,0
280,3.263,1
281,27.441,1
282,10.584000000000001,1
283,4.03,1
284,8.946,1
285,10.272,1
286,2.5660000000000003,1
287,10.482000000000001,0
288,7.956,2
289,16.17,0
290,7.31,0
291,6.648,1
292,3.693,0
293,3.4330000000000003,0
294,3.3169999999999997,0
295,22.785999999999998,1
296,5.235,2
297,3.548,0
298,9.729,0
299,4.763999999999999,1
300,1.392,0
301,2.591,0
302,5.605,1
303,1.125,0
304,3.32,0
305,5.41,2
306,2.772,1
307,3.318,0
308,5.029,1
309,3.898,0
