,condition,entropy
96,Full,0.36517183001391357
97,Truncated,0.6888124447545704
98,Full,0.3678772171470371
99,Truncated,0.7483982338084298
100,Full,0.2814722826873998
101,Truncated,0.6887061095443989
102,Full,0.42657913999941166
103,Truncated,0.7250428528786703
104,Full,0.4062768023874708
105,Truncated,0.6668502902549523
106,Full,0.34110805911412884
107,Truncated,0.6464161916018608
108,Full,0.27775842105548276
109,Truncated,0.6442222675842487
110,Full,0.3249654355451054
111,Truncated,0.6667324017071126
112,Full,0.3956483323659959
113,Truncated,0.707876120306827
114,Full,0.32962093105224394
115,Truncated,0.6049466252053896
116,Full,0.2939876081796586
117,Truncated,0.6701810392743065
118,Full,0.3096406468968635
119,Truncated,0.6931856763302278
120,Full,0.3868458784380766
121,Truncated,0.6948371654719309
122,Full,0.34205120554736074
123,Truncated,0.7167441271418933
124,Full,0.3408106923032401
125,Truncated,0.7035749766180139
126,Full,0.37801501158242823
127,Truncated,0.6763777080889061
128,Full,0.3378461168126651
129,Truncated,0.7009446145039323
130,Full,0.32008093156666995
131,Truncated,0.7629714979646203
132,Full,0.36132267405018376
133,Truncated,0.7479434118375691
134,Full,0.366414960916299
135,Truncated,0.7139675208923836
136,Full,0.33182257141356425
137,Truncated,0.6882022369398024
138,Full,0.33613094516968217
139,Truncated,0.6555649384966258
140,Full,0.30694017822749914
141,Truncated,0.6382680767573717
142,Full,0.38893974719074864
143,Truncated,0.764159155394158
144,Full,0.2792138670396003
145,Truncated,0.6514560196172904
146,Full,0.34758451148675223
147,Truncated,0.678008111212079
148,Full,0.31671374834796057
149,Truncated,0.6824458168082194
150,Full,0.3362602961904158
151,Truncated,0.6544098258293953
152,Full,0.3391430209891043
153,Truncated,0.6968380466885726
154,Full,0.2401448663325853
155,Truncated,0.5775384125546369
156,Full,0.348874370811352
157,Truncated,0.6530002261302906
158,Full,0.3705207208428057
159,Truncated,0.7028572859921453
160,Full,0.37232466752719123
161,Truncated,0.6719835424174996
162,Full,0.2868096978825788
163,Truncated,0.5686417695396461
164,Full,0.3278074667698526
165,Truncated,0.639201759121244
166,Full,0.2961241340721293
167,Truncated,0.7438796995702708
168,Full,0.3694428926632064
169,Truncated,0.6118935272961807
170,Full,0.32758127961034844
171,Truncated,0.7168450087969213
172,Full,0.36103162284939666
173,Truncated,0.6609070065554263
174,Full,0.3266059983280914
175,Truncated,0.7300866255002934
176,Full,0.3433915549466181
177,Truncated,0.7043096408088001
178,Full,0.3602251372248938
179,Truncated,0.6678612766866212
180,Full,0.3649354859191376
181,Truncated,0.7033048383544871
182,Full,0.3529471015184633
183,Truncated,0.7356803409816437
184,Full,0.37437381428681543
185,Truncated,0.7357483363717875
186,Full,0.40043781422965075
187,Truncated,0.723744313758438
188,Full,0.36235152132639536
189,Truncated,0.7129882094838698
190,Full,0.2665557519389838
191,Truncated,0.6266344257955848
192,Full,0.2997807195254484
193,Truncated,0.636595351568931
194,Full,0.3122134060848766
195,Truncated,0.7258463740457822
196,Full,0.32536300026690795
197,Truncated,0.6702598378155178
198,Full,0.32173541310026743
199,Truncated,0.6724626960949506
200,Full,0.38001096132924445
201,Truncated,0.6871592205195634
202,Full,0.30733533714755257
203,Truncated,0.6983313988679831
204,Full,0.33298667619248984
205,Truncated,0.7057321323617709
206,Full,0.32331385933277124
207,Truncated,0.6364888856644253
208,Full,0.35184543695196335
209,Truncated,0.6911680667037738
210,Full,0.3958584765943769
211,Truncated,0.7063715273076784
212,Full,0.3388093346949158
213,Truncated,0.6179825518820554
214,Full,0.3409323372728843
215,Truncated,0.6435761086998623
216,Full,0.3489353437229414
217,Truncated,0.6837915798568807
218,Full,0.3197140175576958
219,Truncated,0.6844048102040219
220,Full,0.41125929027775465
221,Truncated,0.748935118052871
222,Full,0.3424634655824547
