,heuristic,board,correlation,sample_number
237,linear,6_easy_pruned,0.611455632,4
238,linear,6_hard_full,0.573630622,4
239,linear,6_hard_pruned,0.531753219,4
240,non-linear,10_easy_full,0.300707076,4
241,non-linear,10_easy_pruned,0.387998568,4
242,non-linear,10_hard_full,0.554059521,4
243,non-linear,10_hard_pruned,0.704797147,4
244,non-linear,10_medium_full,0.304910076,4
245,non-linear,10_medium_pruned,0.430234032,4
246,non-linear,6_easy_full,0.712441827,4
247,non-linear,6_easy_pruned,0.607932111,4
248,non-linear,6_hard_full,0.478770682,4
249,non-linear,6_hard_pruned,0.622047618,4
250,blocking,10_easy_full,0.416766675,5
251,blocking,10_easy_pruned,0.555775754,5
252,blocking,10_hard_full,0.642004088,5
253,blocking,10_hard_pruned,0.737078402,5
254,blocking,10_medium_full,0.285372127,5
255,blocking,10_medium_pruned,0.575148069,5
256,blocking,6_easy_full,0.874817499,5
257,blocking,6_easy_pruned,0.56629743,5
258,blocking,6_hard_full,0.61191079,5
259,blocking,6_hard_pruned,0.664346457,5
260,density,10_easy_full,0.219349054,5
261,density,10_easy_pruned,0.405550459,5
262,density,10_hard_full,0.375295041,5
263,density,10_hard_pruned,0.231085735,5
264,density,10_medium_full,0.280391209,5
265,density,10_medium_pruned,0.206428123,5
266,density,6_easy_full,0.526841085,5
267,density,6_easy_pruned,0.500969126,5
268,density,6_hard_full,0.427263068,5
269,density,6_hard_pruned,0.383002484,5
270,interaction,10_easy_full,0.35511342,5
271,interaction,10_easy_pruned,0.617907158,5
272,interaction,10_hard_full,0.466375095,5
273,interaction,10_hard_pruned,0.363221049,5
274,interaction,10_medium_full,0.379664905,5
275,interaction,10_medium_pruned,0.47407374,5
276,interaction,6_easy_full,0.818913388,5
277,interaction,6_easy_pruned,0.598378215,5
278,interaction,6_hard_full,0.558130368,5
279,interaction,6_hard_pruned,0.473690586,5
280,linear,10_easy_full,0.342500429,5
281,linear,10_easy_pruned,0.439121098,5
282,linear,10_hard_full,0.421585436,5
283,linear,10_hard_pruned,0.399350322,5
284,linear,10_medium_full,0.458280099,5
285,linear,10_medium_pruned,0.187795277,5
286,linear,6_easy_full,0.769962791,5
287,linear,6_easy_pruned,0.604884911,5
288,linear,6_hard_full,0.543705,5
289,linear,6_hard_pruned,0.754504178,5
290,non-linear,10_easy_full,0.425333611,5
291,non-linear,10_easy_pruned,0.476890659,5
292,non-linear,10_hard_full,0.6062626,5
293,non-linear,10_hard_pruned,0.319932045,5
294,non-linear,10_medium_full,0.418297888,5
295,non-linear,10_medium_pruned,0.61266514,5
296,non-linear,6_easy_full,0.685201852,5
297,non-linear,6_easy_pruned,0.428410671,5
298,non-linear,6_hard_full,0.525698008,5
299,non-linear,6_hard_pruned,0.611864947,5
300,blocking,10_easy_full,0.598487603,6
301,blocking,10_easy_pruned,0.669364508,6
302,blocking,10_hard_full,0.36632744,6
303,blocking,10_hard_pruned,0.472456747,6
304,blocking,10_medium_full,0.365997165,6
305,blocking,10_medium_pruned,0.383284696,6
306,blocking,6_easy_full,0.865408152,6
307,blocking,6_easy_pruned,0.53502096,6
308,blocking,6_hard_full,0.802448638,6
309,blocking,6_hard_pruned,0.615464853,6
310,density,10_easy_full,0.143089052,6
311,density,10_easy_pruned,0.468727411,6
312,density,10_hard_full,0.334127278,6
313,density,10_hard_pruned,0.387260779,6
314,density,10_medium_full,0.189064461,6
315,density,10_medium_pruned,0.148812597,6
316,density,6_easy_full,0.380582449,6
317,density,6_easy_pruned,0.449666976,6
318,density,6_hard_full,0.135872771,6
319,density,6_hard_pruned,0.297510512,6
320,interaction,10_easy_full,0.420172501,6
321,interaction,10_easy_pruned,0.583445306,6
322,interaction,10_hard_full,0.538280406,6
323,interaction,10_hard_pruned,0.38708366,6
324,interaction,10_medium_full,0.609409042,6
325,interaction,10_medium_pruned,0.691479301,6
326,interaction,6_easy_full,0.80818057,6
327,interaction,6_easy_pruned,0.600105135,6
328,interaction,6_hard_full,0.561936605,6
329,interaction,6_hard_pruned,0.542478998,6
330,linear,10_easy_full,0.051966883,6
331,linear,10_easy_pruned,0.331439708,6
